x,y,z
-1.194915056228637695e+00,4.349133074283599854e-01,-5.312786623835563660e-02
-1.245580554008483887e+00,3.171635568141937256e-01,-4.016486555337905884e-02
-1.280429005622863770e+00,1.929933726787567139e-01,-2.503316663205623627e-02
-1.298190712928771973e+00,6.478974968194961548e-02,-8.505163714289665222e-03
-1.298190593719482422e+00,-6.479027122259140015e-02,8.505230769515037537e-03
-1.280428886413574219e+00,-1.929938942193984985e-01,2.503322809934616089e-02
-1.245580315589904785e+00,-3.171640336513519287e-01,4.016491770744323730e-02
-1.194914817810058594e+00,-4.349137842655181885e-01,5.312791094183921814e-02
-1.130157351493835449e+00,-5.442554950714111328e-01,6.335212290287017822e-02
-1.053327918052673340e+00,-6.436756849288940430e-01,7.049196213483810425e-02
-9.665861129760742188e-01,-7.321609854698181152e-01,7.441355288028717041e-02
-8.720982074737548828e-01,-8.091893792152404785e-01,7.516000419855117798e-02
-7.719249725341796875e-01,-8.746979832649230957e-01,7.291126251220703125e-02
-6.679257154464721680e-01,-9.290288090705871582e-01,6.794969737529754639e-02
-5.616744160652160645e-01,-9.728488922119140625e-01,6.063354387879371643e-02
-4.543955624103546143e-01,-1.007044911384582520e+00,5.137285590171813965e-02
-3.469342887401580811e-01,-1.032597899436950684e+00,4.060106351971626282e-02
-2.397585064172744751e-01,-1.050452589988708496e+00,2.874193713068962097e-02
-1.330105811357498169e-01,-1.061400651931762695e+00,1.618125103414058685e-02
-2.658369950950145721e-02,-1.065990924835205078e+00,3.253926057368516922e-03
7.977104187011718750e-02,-1.064467668533325195e+00,-9.744373150169849396e-03
1.863338500261306763e-01,-1.056748986244201660e+00,-2.252727374434471130e-02
2.932953834533691406e-01,-1.042432785034179688e+00,-3.478222340345382690e-02
4.006509184837341309e-01,-1.020840406417846680e+00,-4.614882916212081909e-02
5.081020593643188477e-01,-9.910892248153686523e-01,-5.621939525008201599e-02
6.149968504905700684e-01,-9.522002935409545898e-01,-6.456127017736434937e-02
7.202982902526855469e-01,-9.032249450683593750e-01,-7.074874639511108398e-02
8.226011991500854492e-01,-8.433704376220703125e-01,-7.439447939395904541e-02
9.201784729957580566e-01,-7.721209526062011719e-01,-7.517518848180770874e-02
1.011060118675231934e+00,-6.893281936645507812e-01,-7.285596430301666260e-02
1.093118786811828613e+00,-5.952802896499633789e-01,-6.732052564620971680e-02
1.164176940917968750e+00,-4.907409250736236572e-01,-5.860917270183563232e-02
1.222125887870788574e+00,-3.769754171371459961e-01,-4.695825278759002686e-02
1.265073895454406738e+00,-2.557393610477447510e-01,-3.282596543431282043e-02
1.291503071784973145e+00,-1.292338669300079346e-01,-1.688890345394611359e-02
1.300427317619323730e+00,2.273739312386169331e-07,2.971255597117306024e-08
1.294931650161743164e+00,0.000000000000000000e+00,7.722668349742889404e-02
1.280652523040771484e+00,1.281486302614212036e-01,9.360852092504501343e-02
1.249574661254882812e+00,2.526069879531860352e-01,1.075782477855682373e-01
1.203161478042602539e+00,3.711261749267578125e-01,1.184856966137886047e-01
1.143213152885437012e+00,4.819048047065734863e-01,1.259545832872390747e-01
1.071679711341857910e+00,5.836057066917419434e-01,1.298820674419403076e-01
9.905175566673278809e-01,6.753234863281250000e-01,1.303974986076354980e-01
9.016022086143493652e-01,7.565340995788574219e-01,1.277948617935180664e-01
8.066852688789367676e-01,8.270536065101623535e-01,1.224591806530952454e-01
7.073651552200317383e-01,8.870080113410949707e-01,1.148061603307723999e-01
6.050516366958618164e-01,9.368032813072204590e-01,1.052458882331848145e-01
5.009167194366455078e-01,9.770743250846862793e-01,9.417022019624710083e-02
3.958467841148376465e-01,1.008601307868957520e+00,8.195273578166961670e-02
2.904186546802520752e-01,1.032209515571594238e+00,6.894969940185546875e-02
1.849076747894287109e-01,1.048663973808288574e+00,5.549722164869308472e-02
7.932890206575393677e-02,1.058572053909301758e+00,4.190810769796371460e-02
-2.649246901273727417e-02,1.062309861183166504e+00,2.847796306014060974e-02
-1.328308433294296265e-01,1.059963941574096680e+00,1.550615392625331879e-02
-2.399496138095855713e-01,1.051287293434143066e+00,3.327256068587303162e-03
-3.479761779308319092e-01,1.035698056221008301e+00,-7.661778479814529419e-03
-4.567733705043792725e-01,1.012313246726989746e+00,-1.699529215693473816e-02
-5.658302903175354004e-01,9.800466895103454590e-01,-2.416184917092323303e-02
-6.741890907287597656e-01,9.377397894859313965e-01,-2.865285798907279968e-02
-7.804239988327026367e-01,8.843277692794799805e-01,-3.002359345555305481e-02
-8.826752901077270508e-01,8.190028071403503418e-01,-2.795166522264480591e-02
-9.787333011627197266e-01,7.413614988327026367e-01,-2.228496968746185303e-02
-1.066166281700134277e+00,6.515204310417175293e-01,-1.307611539959907532e-02
-1.142482876777648926e+00,5.501905679702758789e-01,-6.060823798179626465e-04
-1.205323457717895508e+00,4.387016594409942627e-01,1.460668817162513733e-02
-1.252659559249877930e+00,3.189660906791687012e-01,3.181751817464828491e-02
-1.282983660697937012e+00,1.933784335851669312e-01,5.009604990482330322e-02
