number,value,model.activation,model.siren,model.siren_omega0,model.use_fourier,model.ff_k,model.depth,model.width,opt.lr,opt.lam_bc,opt.lam_warm,opt.grad_clip_norm,opt.weight_decay_is_zero,opt.weight_decay_pos,opt.lr_warmup_frac,opt.lr_min_ratio,opt.use_ema,opt.ema_decay,opt.use_lookahead,opt.use_al,opt.al_rho,opt.al_update_every,opt.al_clip,sampling.bdry_presample_mult,regularization.zero_mean_weight,multi_valued.kappa,sampling.rng_seed,opt.lookahead_sync_period,opt.lookahead_slow_step
527,0.043946150129527746,silu,False,,False,,3,96,0.0018267150125210988,17.37613356300054,9.244920863683872,1.6098775247345904,True,,0.1,0.019325881076364668,False,,True,True,4.784666944980841,17.0,8.840569323488209,32,0.17084399714588938,0.5805412210110152,7823,3.0,0.4150262157391407
528,0.13507840702827845,silu,True,13.89451868384842,True,5.0,3,96,0.0016896330504152497,13.334889269750636,33.4389341969735,1.279205654439546,True,,0.15,0.048879472803670915,False,,False,True,3.5595257566519107,7.0,0.9582301452345949,24,0.6444236490646637,0.6185092217250818,6750,,
529,0.011489091916772992,silu,False,,False,,3,96,0.003136580436999488,19.04209759396666,16.640597401623296,1.0905588270841056,True,,0.25,0.01641875613145972,False,,True,False,,,,32,0.0921749186385319,0.0309598664282959,6519,4.0,0.4024933531582643
530,0.0215125789667489,softplus,True,14.279678596943192,False,,4,32,0.0009589293657964194,18.836490917837533,175.37906782452092,0.7275665557698728,True,,0.25,0.18923646519232568,False,,False,False,,,,32,0.03902721034078156,0.4954747937508697,7520,,
531,0.033907607890522454,softplus,True,14.311848491357358,False,,3,96,0.0005323979335114174,12.61760693351257,42.18823972026017,0.9755762206585209,True,,0.05,0.12469881925399365,False,,False,False,,,,32,0.29968470614123477,0.3731388721084698,5663,,
532,0.18345038556034948,sin,True,14.54979741197675,False,,4,96,0.0009420646177912611,3.9737819054203665,12.915606170953618,1.4763326248751032,True,,0.25,0.12227830351684937,True,0.9981330597684249,False,True,3.6258912377558286,30.0,6.317969394818755,16,0.6543800405099605,0.30359165692168244,8074,,
533,0.11157063747992775,softplus,True,14.231408902678456,False,,4,64,0.0007617909276293651,9.327193377095359,23.974449961327306,1.1598750772303545,False,3.4345890811238784e-05,0.25,0.13897259819044072,True,0.9982823576247827,True,False,,,,16,0.5703031650809203,0.25636576900825775,5607,5.0,0.4113357426363621
534,0.0033603908233889633,softplus,True,9.820344809277492,False,,4,32,0.0017216973039525364,1.280668031877458,6.104793068226582,1.0865891030886237,True,,0.05,0.07904596904043801,False,,False,True,0.1197541589980358,14.0,7.636846159675601,32,0.8747954063682948,0.15907049271202145,1081,,
535,0.007220759188427375,softplus,True,9.283230053384534,False,,5,64,0.0014909814976528937,1.5303598553895903,8.834164254096665,0.7777512855335794,True,,0.05,0.023892225459844825,False,,True,True,0.191112490724551,17.0,7.5903536503546745,24,0.9438045232086552,0.1978997748501718,1826,4.0,0.4990041416721484
536,0.1578032800777679,softplus,True,8.551187447524423,False,,4,128,0.0009176249265340285,8.742722087942305,156.57183791789478,2.2090985166741994,True,,0.02,0.10200711149932983,True,0.9961657787212705,False,False,,,,32,0.426249340560074,0.6922357778790031,8913,,
