nx,ny,nz
-1.790166646242141724e-01,-8.152521848678588867e-01,5.507421493530273438e-01
-1.337336599826812744e-01,-8.332068920135498047e-01,5.365458726882934570e-01
-9.204126149415969849e-02,-8.501579165458679199e-01,5.184205770492553711e-01
-5.352878943085670471e-02,-8.665795326232910156e-01,4.961597919464111328e-01
-1.759184151887893677e-02,-8.828836679458618164e-01,4.692621231079101562e-01
1.658976450562477112e-02,-8.993734717369079590e-01,4.368662834167480469e-01
5.009326711297035217e-02,-9.161118268966674805e-01,3.977809846401214600e-01
8.429386466741561890e-02,-9.326812624931335449e-01,3.507138192653656006e-01
1.208451539278030396e-01,-9.478898644447326660e-01,2.947902679443359375e-01
1.615300625562667847e-01,-9.596112370491027832e-01,2.303350120782852173e-01
2.079534679651260376e-01,-9.650237560272216797e-01,1.596389710903167725e-01
2.611619234085083008e-01,-9.613516926765441895e-01,8.716344833374023438e-02
3.213774561882019043e-01,-9.467654824256896973e-01,1.875343732535839081e-02
3.879826068878173828e-01,-9.208030700683593750e-01,-3.988901525735855103e-02
4.596968293190002441e-01,-8.840376734733581543e-01,-8.459407091140747070e-02
5.347807407379150391e-01,-8.373644351959228516e-01,-1.132711321115493774e-01
6.111654639244079590e-01,-7.814670801162719727e-01,-1.256419569253921509e-01
6.865190267562866211e-01,-7.166954874992370605e-01,-1.226337328553199768e-01
7.583143711090087891e-01,-6.432414054870605469e-01,-1.058292016386985779e-01
8.239341974258422852e-01,-5.614137053489685059e-01,-7.711794227361679077e-02
8.808252811431884766e-01,-4.718716144561767578e-01,-3.852318972349166870e-02
9.266874790191650391e-01,-3.757505118846893311e-01,7.868062704801559448e-03
9.596675634384155273e-01,-2.746727168560028076e-01,5.994264781475067139e-02
9.785256981849670410e-01,-1.706551462411880493e-01,1.156044974923133850e-01
9.827401041984558105e-01,-6.595470756292343140e-02,1.728346049785614014e-01
9.725372195243835449e-01,3.712763637304306030e-02,2.297667562961578369e-01
8.934003710746765137e-01,6.547830253839492798e-02,4.444641768932342529e-01
8.526754379272460938e-01,1.599865853786468506e-01,4.973418116569519043e-01
8.013007640838623047e-01,2.452839910984039307e-01,5.456673502922058105e-01
7.421578168869018555e-01,3.204735219478607178e-01,5.886412858963012695e-01
6.780174374580383301e-01,3.853230476379394531e-01,6.259540915489196777e-01
6.113300323486328125e-01,4.401503801345825195e-01,6.576801538467407227e-01
5.440998673439025879e-01,4.856631159782409668e-01,6.841686367988586426e-01
4.778454899787902832e-01,5.227901339530944824e-01,7.059420943260192871e-01
4.136308729648590088e-01,5.525330305099487305e-01,7.236137390136718750e-01
3.521448671817779541e-01,5.758570432662963867e-01,7.378228306770324707e-01
2.938035428524017334e-01,5.936276912689208984e-01,7.491900324821472168e-01
2.388520389795303345e-01,6.065889596939086914e-01,7.582872509956359863e-01
1.874513924121856689e-01,6.153781414031982422e-01,7.656185626983642578e-01
1.397344470024108887e-01,6.205628514289855957e-01,7.716060876846313477e-01
9.583147615194320679e-02,6.226907968521118164e-01,7.765774726867675781e-01
5.586825311183929443e-02,6.223359704017639160e-01,7.807539105415344238e-01
1.994954235851764679e-02,6.201425194740295410e-01,7.842354774475097656e-01
-1.186132337898015976e-02,6.168687343597412109e-01,7.869766950607299805e-01
-3.956729546189308167e-02,6.134475469589233398e-01,7.887436747550964355e-01
-6.327810138463973999e-02,6.110745668411254883e-01,7.890397906303405762e-01
-8.329395204782485962e-02,6.113241314888000488e-01,7.869846820831298828e-01
-1.002611219882965088e-01,6.162439584732055664e-01,7.811473011970520020e-01
-1.154180541634559631e-01,6.283308267593383789e-01,7.693367600440979004e-01
-1.309178769588470459e-01,6.502043604850769043e-01,7.483948469161987305e-01
-1.501264125108718872e-01,6.837052106857299805e-01,7.141493558883666992e-01
-1.776180118322372437e-01,7.281904220581054688e-01,6.619595885276794434e-01
-2.183632701635360718e-01,7.783722281455993652e-01,5.886036753654479980e-01
-2.757613956928253174e-01,8.235060572624206543e-01,4.957755506038665771e-01
-3.493933975696563721e-01,8.505874276161193848e-01,3.929696977138519287e-01
-4.346913397312164307e-01,8.507381677627563477e-01,2.954455614089965820e-01
-5.251772403717041016e-01,8.227797746658325195e-01,2.173069715499877930e-01
-6.149071455001831055e-01,7.709094285964965820e-01,1.660959720611572266e-01
-6.992413401603698730e-01,7.005035877227783203e-01,1.426754593849182129e-01
-7.745044231414794922e-01,6.159721612930297852e-01,1.439483612775802612e-01
-8.376079201698303223e-01,5.206640362739562988e-01,1.652935892343521118e-01
-8.859907388687133789e-01,4.174572825431823730e-01,2.018660902976989746e-01
-9.177816510200500488e-01,3.092261254787445068e-01,2.491106837987899780e-01
-9.320024251937866211e-01,1.989992409944534302e-01,3.029368519783020020e-01
-9.286938309669494629e-01,8.986586332321166992e-02,3.597940504550933838e-01
-9.089052677154541016e-01,-1.524446252733469009e-02,4.167239964008331299e-01
-8.745462894439697266e-01,-1.138001158833503723e-01,4.714004397392272949e-01
-8.281394243240356445e-01,-2.038593888282775879e-01,5.221363902091979980e-01
-7.725215554237365723e-01,-2.841714620590209961e-01,5.678530335426330566e-01
-7.105497121810913086e-01,-3.541820943355560303e-01,6.080083250999450684e-01
-6.448554992675781250e-01,-4.139524102210998535e-01,6.424988508224487305e-01
-5.776763558387756348e-01,-4.640164375305175781e-01,6.715495586395263672e-01
-5.107742547988891602e-01,-5.052123665809631348e-01,6.956077218055725098e-01
-4.454324543476104736e-01,-5.385224223136901855e-01,7.152506709098815918e-01
-3.825155794620513916e-01,-5.649405717849731445e-01,7.311114668846130371e-01
-3.225628435611724854e-01,-5.853874087333679199e-01,7.438244819641113281e-01
-2.658926546573638916e-01,-6.006674766540527344e-01,7.539891004562377930e-01
-2.126992493867874146e-01,-6.114684939384460449e-01,7.621452212333679199e-01
-1.631242334842681885e-01,-6.183869838714599609e-01,7.687574625015258789e-01
-1.172982454299926758e-01,-6.219742298126220703e-01,7.742023468017578125e-01
-7.535018026828765869e-02,-6.227856278419494629e-01,7.787557244300842285e-01
-3.739821538329124451e-02,-6.214250922203063965e-01,7.825804352760314941e-01
-3.528901608660817146e-03,-6.185873746871948242e-01,7.857080698013305664e-01
2.622381970286369324e-02,-6.151093840599060059e-01,7.880055904388427734e-01
5.190925672650337219e-02,-6.120418310165405273e-01,7.891199588775634766e-01
7.371811568737030029e-02,-6.107554435729980469e-01,7.883803248405456543e-01
9.209856390953063965e-02,-6.130529046058654785e-01,7.846553921699523926e-01
1.079567000269889832e-01,-6.212235093116760254e-01,7.761614918708801270e-01
1.229456290602684021e-01,-6.378947496414184570e-01,7.602464556694030762e-01
1.397968232631683350e-01,-6.654576659202575684e-01,7.332277894020080566e-01
1.625177860260009766e-01,-7.047728896141052246e-01,6.905671954154968262e-01
1.960548460483551025e-01,-7.531258463859558105e-01,6.279840469360351562e-01
2.448987662792205811e-01,-8.024005889892578125e-01,5.442221760749816895e-01
3.107538521289825439e-01,-8.400270938873291016e-01,4.447319209575653076e-01
3.909794986248016357e-01,-8.542799353599548340e-01,3.425506055355072021e-01
4.796873331069946289e-01,-8.400819897651672363e-01,2.533030211925506592e-01
5.704554915428161621e-01,-7.994865775108337402e-01,1.881534010171890259e-01
6.579952836036682129e-01,-7.377174496650695801e-01,1.510469913482666016e-01
7.382113933563232422e-01,-6.597756743431091309e-01,1.404988318681716919e-01
8.077499270439147949e-01,-5.694811344146728516e-01,1.524181216955184937e-01
8.637751340866088867e-01,-4.698712527751922607e-01,1.819710284471511841e-01
9.040444493293762207e-01,-3.637833595275878906e-01,2.244222015142440796e-01
9.271101951599121094e-01,-2.541684210300445557e-01,2.754362821578979492e-01
9.324962496757507324e-01,-1.441061049699783325e-01,3.311858773231506348e-01
9.207577705383300781e-01,-3.663744032382965088e-02,3.884104788303375244e-01
8.934003114700317383e-01,6.547863781452178955e-02,4.444642066955566406e-01
7.615044116973876953e-01,6.718318909406661987e-02,6.446684598922729492e-01
7.077910900115966797e-01,1.570318639278411865e-01,6.887472271919250488e-01
6.437945365905761719e-01,2.342630922794342041e-01,7.284567952156066895e-01
5.735917687416076660e-01,2.984356582164764404e-01,7.628424763679504395e-01
5.007367730140686035e-01,3.499296009540557861e-01,7.917146086692810059e-01
4.280806481838226318e-01,3.897061049938201904e-01,8.153993487358093262e-01
3.577114343643188477e-01,4.190548360347747803e-01,8.345271944999694824e-01
2.909954786300659180e-01,4.393641650676727295e-01,8.498709797859191895e-01
2.286938726902008057e-01,4.519490599632263184e-01,8.622303605079650879e-01
1.711132377386093140e-01,4.579425454139709473e-01,8.723582029342651367e-01
1.182670444250106812e-01,4.582475125789642334e-01,8.809211850166320801e-01
7.002268731594085693e-02,4.535398483276367188e-01,8.884809613227844238e-01
2.622316777706146240e-02,4.443058073520660400e-01,8.954913616180419922e-01
-1.322933007031679153e-02,4.309002459049224854e-01,9.023025631904602051e-01
-4.832547158002853394e-02,4.136186242103576660e-01,9.091668725013732910e-01
-7.893789559602737427e-02,3.927649557590484619e-01,9.162447452545166016e-01
-1.048333048820495605e-01,3.687103390693664551e-01,9.236139655113220215e-01
-1.256966143846511841e-01,3.419375717639923096e-01,9.312781691551208496e-01
-1.411572545766830444e-01,3.130793571472167969e-01,9.391782879829406738e-01
-1.508180052042007446e-01,2.829670906066894531e-01,9.471976757049560547e-01
-1.542977243661880493e-01,2.527064383029937744e-01,9.551604986190795898e-01
-1.513055860996246338e-01,2.237925678491592407e-01,9.628205299377441406e-01
-1.417760848999023438e-01,1.982664167881011963e-01,9.698402285575866699e-01
-1.260887235403060913e-01,1.788930594921112061e-01,9.757555723190307617e-01
-1.054170727729797363e-01,1.693414449691772461e-01,9.799034595489501953e-01
-8.225923031568527222e-02,1.743049621582031250e-01,9.812498092651367188e-01
-6.122434139251708984e-02,1.994222104549407959e-01,9.779991507530212402e-01
-5.006964877247810364e-02,2.505534291267395020e-01,9.668071269989013672e-01
-6.052859127521514893e-02,3.312945663928985596e-01,9.415838718414306641e-01
-1.069509759545326233e-01,4.369753599166870117e-01,8.930923938751220703e-01
-1.988229155540466309e-01,5.464482307434082031e-01,8.135500550270080566e-01
-3.282703161239624023e-01,6.242036223411560059e-01,7.089488506317138672e-01
-4.693081974983215332e-01,6.438252329826354980e-01,6.043499112129211426e-01
-5.962523818016052246e-01,6.061843633651733398e-01,5.263303518295288086e-01
-6.963914632797241211e-01,5.284553766250610352e-01,4.855656027793884277e-01
-7.667880058288574219e-01,4.276337623596191406e-01,4.787124097347259521e-01
-8.082827329635620117e-01,3.156134188175201416e-01,4.970584511756896973e-01
-8.229066729545593262e-01,2.004070878028869629e-01,5.316593647003173828e-01
-8.133917450904846191e-01,8.778227865695953369e-02,5.750549435615539551e-01
-7.831578254699707031e-01,-1.793649047613143921e-02,6.215643286705017090e-01
-7.362009286880493164e-01,-1.136196479201316833e-01,6.671572327613830566e-01
